episode,step,state_row,state_col,action,next_row,next_col,reward,cell_cost,terminated,truncated
0,0,0,0,1,0,1,-1.0,1.0,False,False
0,1,0,1,1,0,2,-1.0,1.0,False,False
0,2,0,2,1,0,3,-1.0,1.0,False,False
0,3,0,3,1,0,4,-1.0,1.0,False,False
0,4,0,4,2,1,4,-2.0,2.0,False,False
0,5,1,4,2,2,4,-3.0,3.0,False,False
0,6,2,4,2,3,4,-4.0,4.0,False,False
0,7,3,4,2,4,4,-5.0,5.0,True,False
1,0,0,0,1,0,1,-1.0,1.0,False,False
1,1,0,1,1,0,2,-1.0,1.0,False,False
1,2,0,2,1,0,3,-1.0,1.0,False,False
1,3,0,3,1,0,4,-1.0,1.0,False,False
1,4,0,4,2,1,4,-2.0,2.0,False,False
1,5,1,4,2,2,4,-3.0,3.0,False,False
1,6,2,4,2,3,4,-4.0,4.0,False,False
1,7,3,4,2,4,4,-5.0,5.0,True,False
2,0,0,0,1,0,1,-1.0,1.0,False,False
2,1,0,1,1,0,2,-1.0,1.0,False,False
2,2,0,2,1,0,3,-1.0,1.0,False,False
2,3,0,3,1,0,4,-1.0,1.0,False,False
2,4,0,4,2,1,4,-2.0,2.0,False,False
2,5,1,4,2,2,4,-3.0,3.0,False,False
2,6,2,4,2,3,4,-4.0,4.0,False,False
2,7,3,4,2,4,4,-5.0,5.0,True,False
3,0,0,0,1,0,1,-1.0,1.0,False,False
3,1,0,1,1,0,2,-1.0,1.0,False,False
3,2,0,2,1,0,3,-1.0,1.0,False,False
3,3,0,3,1,0,4,-1.0,1.0,False,False
3,4,0,4,2,1,4,-2.0,2.0,False,False
3,5,1,4,2,2,4,-3.0,3.0,False,False
3,6,2,4,2,3,4,-4.0,4.0,False,False
3,7,3,4,2,4,4,-5.0,5.0,True,False
4,0,0,0,1,0,1,-1.0,1.0,False,False
4,1,0,1,1,0,2,-1.0,1.0,False,False
4,2,0,2,1,0,3,-1.0,1.0,False,False
4,3,0,3,1,0,4,-1.0,1.0,False,False
4,4,0,4,2,1,4,-2.0,2.0,False,False
4,5,1,4,2,2,4,-3.0,3.0,False,False
4,6,2,4,2,3,4,-4.0,4.0,False,False
4,7,3,4,2,4,4,-5.0,5.0,True,False
5,0,0,0,1,0,1,-1.0,1.0,False,False
5,1,0,1,1,0,2,-1.0,1.0,False,False
5,2,0,2,1,0,3,-1.0,1.0,False,False
5,3,0,3,1,0,4,-1.0,1.0,False,False
5,4,0,4,2,1,4,-2.0,2.0,False,False
5,5,1,4,2,2,4,-3.0,3.0,False,False
5,6,2,4,2,3,4,-4.0,4.0,False,False
5,7,3,4,2,4,4,-5.0,5.0,True,False
6,0,0,0,1,0,1,-1.0,1.0,False,False
6,1,0,1,1,0,2,-1.0,1.0,False,False
6,2,0,2,1,0,3,-1.0,1.0,False,False
6,3,0,3,1,0,4,-1.0,1.0,False,False
6,4,0,4,2,1,4,-2.0,2.0,False,False
6,5,1,4,2,2,4,-3.0,3.0,False,False
6,6,2,4,2,3,4,-4.0,4.0,False,False
6,7,3,4,2,4,4,-5.0,5.0,True,False
7,0,0,0,1,0,1,-1.0,1.0,False,False
7,1,0,1,1,0,2,-1.0,1.0,False,False
7,2,0,2,1,0,3,-1.0,1.0,False,False
7,3,0,3,1,0,4,-1.0,1.0,False,False
7,4,0,4,2,1,4,-2.0,2.0,False,False
7,5,1,4,2,2,4,-3.0,3.0,False,False
7,6,2,4,2,3,4,-4.0,4.0,False,False
7,7,3,4,2,4,4,-5.0,5.0,True,False
8,0,0,0,1,0,1,-1.0,1.0,False,False
8,1,0,1,1,0,2,-1.0,1.0,False,False
8,2,0,2,1,0,3,-1.0,1.0,False,False
8,3,0,3,1,0,4,-1.0,1.0,False,False
8,4,0,4,2,1,4,-2.0,2.0,False,False
